"algorithm","initialisation_method","p1","p2","mu1","mu2","sigma1","sigma2","prop_outliers"
"mixtools","hc",0.472410070339343,0.527589929660657,-0.0278499311746622,3.82776755248514,0.284606001690806,1.62761777291711,0.02
"otrimle","hc",0.499804095892071,0.500195904107929,-0.0155568016983467,4.01521911901295,0.293639385422999,0.294156132506395,0.02
"bgmm","hc",0.501175347219702,0.498824652780298,-0.0110425838671182,4.01576544762687,0.322003774034903,0.306093136729943,0.02
"mclust","hc",0.47252911870228,0.52747088129772,-0.0277911935379928,3.82858033219914,0.284694362180997,1.6268764178121,0.02
"EMCluster","hc",0.500644627360771,0.499355372639229,-0.0959746421032473,4.11406744625157,0.821326657162105,0.863363694584154,0.02
"GMKMcharlie","hc",0.500644796870379,0.499355203129622,-0.0959740585501747,4.11406829031961,0.821327874469661,0.863363075729688,0.02
"flexmix","hc",0.4845,0.5155,-0.0277841731541493,3.82843145989255,0.284848846664919,1.62778169704742,0.02
"DCEM","hc",0.474500441762725,0.525499558237275,-0.0256850743744974,3.84114513751885,0.287465168647024,1.61667479876394,0.02
"RGMMBench","rebmix",0.472409733168083,0.527590266831917,-0.0278504658629671,3.8277607678921,0.284605694767021,1.62761995104399,0.02
"Rmixmod","rebmix",0.472411249096579,0.527588750903421,-0.0278497208230984,3.82777117915602,0.284606814426437,1.62761050123202,0.02
"mixtools","rebmix",0.4724103309273,0.5275896690727,-0.0278497479589914,3.82777001018742,0.284606202791589,1.62761613707381,0.02
"bgmm","rebmix",0.501176701973657,0.498823298026343,-0.0110369571021994,4.01577073037917,0.3220215258203,0.306076764822204,0.02
"mclust","rebmix",0.472521547743491,0.527478452256509,-0.0277953041076754,3.82852866355367,0.284688403367262,1.62692290636129,0.02
"EMCluster","rebmix",0.47263939604933,0.52736060395067,-0.0277366861541757,3.82933789368768,0.284775869004105,1.62618823231675,0.02
"GMKMcharlie","rebmix",0.472408807859396,0.527591192140604,-0.0278508113672796,3.82775431514735,0.28460696020786,1.62762622791699,0.02
"flexmix","rebmix",0.4845,0.5155,-0.0277271025403262,3.82922585822466,0.284934248466134,1.62706001799029,0.02
"DCEM","rebmix",0.472898265639677,0.527101734360323,-0.0276061987316374,3.83111510666111,0.28496906844594,1.62457436533014,0.02
"RGMMBench","kmeans",0.485341753543001,0.514658246457,-0.0639456941947241,4.09337095090246,0.639894293410929,0.832172364397727,0.02
"Rmixmod","kmeans",0.485341773906507,0.514658226093493,-0.0639456190600934,4.09337104454046,0.639894389187902,0.832172244764997,0.02
"mixtools","kmeans",0.485341761775397,0.514658238224603,-0.0639456486146286,4.09337100764806,0.639894331967067,0.832172315696898,0.02
"bgmm","kmeans",0.486546166522731,0.513453833477269,-0.00429350740036502,4.01172921395109,0.329690848170107,0.326434660498123,0.02
"mclust","kmeans",0.485342416539134,0.514657583460866,-0.0639432459947583,4.09337399772354,0.639897415781127,0.832168475677612,0.02
"EMCluster","kmeans",0.485341918624931,0.514658081375069,-0.0639450832804953,4.09337170828992,0.639895073576168,0.832171400419716,0.02
"GMKMcharlie","kmeans",0.485341753709359,0.514658246290641,-0.0639456928582925,4.09337095098597,0.639895077059084,0.832172966583271,0.02
"flexmix","kmeans",0.4855,0.5145,-0.0639427095936821,4.09337384078999,0.640228105142558,0.832573786822473,0.02
"DCEM","kmeans",0.485362704235674,0.514637295764326,-0.063867738883316,4.09346667280802,0.639994216997007,0.832051344083358,0.02
"RGMMBench","quantiles",0.485341753419248,0.514658246580752,-0.0639456946512923,4.09337095033337,0.639894292828954,0.832172365124886,0.02
"Rmixmod","quantiles",0.485341770001415,0.514658229998585,-0.0639456334674758,4.09337102658252,0.639894370823128,0.832172267710492,0.02
"mixtools","quantiles",0.485341759116634,0.514658240883366,-0.0639456628834601,4.09337098988062,0.639894319511624,0.832172331418518,0.02
"bgmm","quantiles",0.486546208442368,0.513453791557632,-0.00429334977250906,4.01172937978677,0.329691354836265,0.326434145641617,0.02
"mclust","quantiles",0.485342293314059,0.514657706685941,-0.0639437006284789,4.09337343106972,0.639896836250604,0.832169199705887,0.02
"EMCluster","quantiles",0.48534234742109,0.51465765257891,-0.0639434976816526,4.09337367675032,0.639897097526322,0.832168892500972,0.02
"GMKMcharlie","quantiles",0.485341753709359,0.514658246290641,-0.0639456928582925,4.09337095098597,0.639895077059084,0.832172966583271,0.02
"flexmix","quantiles",0.4855,0.5145,-0.063943159412489,4.09337327749794,0.640227532435621,0.83257450928362,0.02
"DCEM","quantiles",0.485358818872341,0.514641181127659,-0.0638820467580307,4.09344878014445,0.639975989912144,0.832074272274432,0.02
"RGMMBench","random",0.472252392980903,0.527747607019097,-0.0109080930924252,3.94279944755476,0.298256198044559,1.33055934230906,0.02
"Rmixmod","random",0.472251865862239,0.527748134137761,-0.0109084846491296,3.94279584894487,0.298255704070568,1.33056363627834,0.02
"mixtools","random",0.472251899544067,0.527748100455933,-0.0109086729127554,3.94279427300771,0.298255719653564,1.33056343857389,0.02
"bgmm","random",0.486546016382243,0.513453983617757,-0.00429407222887901,4.01172861992546,0.329689034147755,0.326436504733745,0.02
"mclust","random",0.472182333453369,0.527817666546631,-0.0109600112592673,3.94232110047178,0.298190875252748,1.33113005194461,0.02
"EMCluster","random",0.472208108711259,0.527791891288741,-0.0109408250727249,3.94249699739032,0.298214991878524,1.3309203569095,0.02
"GMKMcharlie","random",0.472252740646644,0.527747259353356,-0.0109077988581147,3.94280178885675,0.298258282860847,1.33055696505007,0.02
"flexmix","random",0.477,0.523,-0.0109623398773741,3.9422391107295,0.298347264620463,1.33186042127736,0.02
"DCEM","random",0.472036303627471,0.527963696372529,-0.0110674639442158,3.9413237300316,0.298056647369109,1.33231954101511,0.02
"RGMMBench","hc",0.472252872518799,0.527747127481201,-0.0109077368666537,3.94280272132711,0.298256647464866,1.33055543593996,0.02
"Rmixmod","hc",0.472253343529658,0.527746656470341,-0.0109073869626806,3.94280593687991,0.298257088926766,1.33055159903528,0.02
"mixtools","hc",0.472253775610919,0.527746224389081,-0.0109067440759033,3.94281161247106,0.298257518251783,1.33054796335224,0.02
"otrimle","hc",0.486340638692433,0.513659361307567,-0.004840015798693,4.00684281745659,0.303881938664339,0.306278979819639,0.02
"bgmm","hc",0.486546016781044,0.513453983218956,-0.00429407072803179,4.01172862150344,0.329689038964738,0.326436499834661,0.02
"mclust","hc",0.472315547145242,0.527684452854758,-0.0108610601819706,3.94323053609585,0.298315701094654,1.33004491786185,0.02
"EMCluster","hc",0.485337514046039,0.514662485953961,-0.0639609747239893,4.09335111515091,0.639875094749489,0.832198437227773,0.02
"GMKMcharlie","hc",0.485341753709359,0.514658246290641,-0.0639456928582925,4.09337095098597,0.639895077059084,0.832172966583271,0.02
"flexmix","hc",0.477,0.523,-0.0108631587962322,3.9431528677085,0.298472512069303,1.330769716171,0.02
"DCEM","hc",0.472446639977366,0.527553360022634,-0.0107626824406228,3.94412499506103,0.298441489667085,1.32897724314164,0.02
"RGMMBench","rebmix",0.472253063705785,0.527746936294215,-0.0109075948393973,3.94280402654583,0.298256826653741,1.33055387851011,0.02
"Rmixmod","rebmix",0.472253932668155,0.527746067331845,-0.010906949286343,3.9428099588717,0.29825764115226,1.33054679985427,0.02
"mixtools","rebmix",0.472252954067252,0.527747045932748,-0.0109075884525654,3.94280402179183,0.298256730504167,1.33055474003621,0.02
"bgmm","rebmix",0.486546016401528,0.513453983598472,-0.00429407215630207,4.01172862000177,0.32968903438069,0.326436504496839,0.02
"mclust","rebmix",0.472290297785722,0.527709702214278,-0.0108798924939591,3.94305819899143,0.298291834064312,1.33025057985424,0.02
"EMCluster","rebmix",0.47229759450885,0.527702405491151,-0.0108744541592137,3.94310800410663,0.29829872037187,1.33019114516227,0.02
"GMKMcharlie","rebmix",0.472252741805783,0.527747258194217,-0.0109077979970547,3.94280179677011,0.298258283947188,1.33055695560756,0.02
"flexmix","rebmix",0.477,0.523,-0.0108818565142059,3.942981364375,0.298448789734045,1.33097446009838,0.02
"DCEM","rebmix",0.472610752849243,0.527389247150757,-0.0106381709118929,3.94524409730015,0.298604374073426,1.32764051609561,0.02
"RGMMBench","kmeans",0.505012976912988,0.494987023087012,-0.0910164712648274,4.08020476932471,0.873572691430019,0.855684617689474,0.02
"Rmixmod","kmeans",0.505012976912988,0.494987023087012,-0.0910164712648276,4.0802047693247,0.87357269143002,0.855684617689472,0.02
"mixtools","kmeans",0.505012975099559,0.494987024900441,-0.0910164942370989,4.08020477453998,0.873572648647438,0.855684598994003,0.02
"bgmm","kmeans",0.50480992593564,0.49519007406436,-0.00284177758271037,3.9974930527158,0.312301489726251,0.320178892281591,0.02
"mclust","kmeans",0.505012974496889,0.494987025503111,-0.0910164964853095,4.08020477469573,0.873572638558551,0.85568459704017,0.02
"EMCluster","kmeans",0.505013232633545,0.494986767366455,-0.0910117918955801,4.08020215011051,0.873583065695285,0.855691822860767,0.02
"GMKMcharlie","kmeans",0.505012977053826,0.494987022946174,-0.0910164685242958,4.0802047677155,0.87357326989351,0.855685206393562,0.02
"flexmix","kmeans",0.505,0.495,-0.0910146396213444,4.08020361577101,0.87400952131674,0.856120159343125,0.02
"DCEM","kmeans",0.505012786402246,0.494987213597754,-0.0910188620261809,4.08020560308887,0.873567567060295,0.855681984726534,0.02
"RGMMBench","quantiles",0.505012976915099,0.494987023084901,-0.091016471180928,4.0802047692569,0.87357269162326,0.855684617862045,0.02
"Rmixmod","quantiles",0.505012974295981,0.494987025704019,-0.0910164889450446,4.08020476530971,0.873572657069333,0.855684619394684,0.02
"mixtools","quantiles",0.505012975297066,0.494987024702934,-0.0910164864055733,4.08020476807982,0.87357266545711,0.855684613813926,0.02
"bgmm","quantiles",0.50480992593564,0.49519007406436,-0.00284177758271037,3.9974930527158,0.312301489726251,0.320178892281591,0.02
"mclust","quantiles",0.505012713913244,0.494987286086756,-0.0910182058378628,4.08020432275023,0.873569338865394,0.85568489431259,0.02
"EMCluster","quantiles",0.505012704484306,0.494987295515694,-0.09101491493627,4.08020088573817,0.873577187168255,0.855693280745947,0.02
"GMKMcharlie","quantiles",0.505012977053826,0.494987022946174,-0.0910164685242958,4.0802047677155,0.87357326989351,0.855685206393562,0.02
"flexmix","quantiles",0.505,0.495,-0.0910163615374269,4.08020316071182,0.874006195626955,0.856120458936761,0.02
"DCEM","quantiles",0.505012713913245,0.494987286086755,-0.0910182058378626,4.08020432275025,0.873569338865393,0.85568489431259,0.02
"RGMMBench","random",0.47858047852899,0.52141952147101,-0.00565540010506293,3.79040368830981,0.28561560925047,1.67459855857809,0.02
"Rmixmod","random",0.478579157669234,0.521420842330766,-0.00565559485449025,3.79039425090673,0.285614704972936,1.6746071347267,0.02
"mixtools","random",0.478579786392704,0.521420213607296,-0.00565564242706881,3.79039381692269,0.285615037352118,1.67460318599181,0.02
"bgmm","random",0.478500906724172,0.521499093275828,-0.00566709464806172,3.78983520520552,0.285561140412497,1.67511503483559,0.02
"mclust","random",0.478421823690287,0.521578176309713,-0.00567864193055629,3.78927031315592,0.285507020493223,1.67562799179569,0.02
"EMCluster","random",0.478751506531725,0.521248493468275,-0.0056300014433779,3.79162589377342,0.285732741279038,1.67348729111972,0.02
"GMKMcharlie","random",0.47858235945964,0.52141764054036,-0.00565510735443185,3.79041711328446,0.285618843491266,1.67458664572834,0.02
"flexmix","random",0.4945,0.5055,-0.00567675022640095,3.78908840371459,0.28565501094368,1.67657633723619,0.02
"DCEM","random",0.477957766984303,0.522042233015697,-0.00574491719656039,3.78595756444719,0.285189767376566,1.67863098756182,0.02
"RGMMBench","hc",0.47858361579128,0.52141638420872,-0.00565493745785338,3.79042610382649,0.28561775707636,1.67457818840889,0.02
"Rmixmod","hc",0.478585364830434,0.521414635169566,-0.00565467947768269,3.79043860065416,0.285618954510058,1.67456683170429,0.02
"mixtools","hc",0.478583891610392,0.521416108389608,-0.00565475505217068,3.79043305093278,0.285618044973563,1.67457626262952,0.02
"otrimle","hc",0.505175869649175,0.494824130350825,0.00127821942454014,3.99126450777309,0.298858035633589,0.302571728699765,0.02
"bgmm","hc",0.50480992593564,0.49519007406436,-0.00284177758271037,3.9974930527158,0.312301489726251,0.320178892281591,0.02
"mclust","hc",0.478794196052693,0.521205803947307,-0.00562343547278949,3.79193087749644,0.285762582461112,1.67320992419134,0.02
"EMCluster","hc",0.505012958922832,0.494987041077167,-0.0910164808737466,4.08020462752647,0.873572721269232,0.855684908984777,0.02
"GMKMcharlie","hc",0.505012977053826,0.494987022946174,-0.0910164685242958,4.0802047677155,0.87357326989351,0.855685206393562,0.02
"flexmix","hc",0.4945,0.5055,-0.00562180311661493,3.79174334760437,0.285909818687732,1.67416362243774,0.02
"DCEM","hc",0.480112251948214,0.519887748051786,-0.00531725906442649,3.80127595212854,0.287306551147936,1.66469308097542,0.02
"RGMMBench","rebmix",0.478583118796205,0.521416881203795,-0.00565501075693067,3.79042255282162,0.285617416823102,1.67458141542218,0.02
"Rmixmod","rebmix",0.478584381491606,0.521415618508394,-0.0056548245231288,3.79043157472455,0.285618281291803,1.67457321665251,0.02
"mixtools","rebmix",0.47858336654418,0.52141663345582,-0.00565486854311555,3.79042803321696,0.285617660284052,1.67457970624682,0.02
"bgmm","rebmix",0.50480992593564,0.49519007406436,-0.00284177758271037,3.9974930527158,0.312301489726251,0.320178892281591,0.02
"mclust","rebmix",0.478735159753803,0.521264840246197,-0.00563244639424502,3.79150905793454,0.285721534105816,1.67359357250581,0.02
"EMCluster","rebmix",0.478730985096887,0.521269014903113,-0.00563306961657937,3.79147922035211,0.285718675017886,1.67362071329169,0.02
"GMKMcharlie","rebmix",0.478582337195758,0.521417662804242,-0.00565511063772353,3.79041695421048,0.285618828249315,1.67458679028753,0.02
"flexmix","rebmix",0.4945,0.5055,-0.0056306762490512,3.79132702131167,0.285869329405037,1.6745422354901,0.02
"DCEM","rebmix",0.479184205762278,0.520815794237722,-0.00556411457668043,3.79472007366583,0.286029404673832,1.67066866112928,0.02
"RGMMBench","kmeans",0.507276414302559,0.492723585697441,-0.0869824901783457,4.0561927726674,0.96439444868396,0.728886097552288,0.02
"Rmixmod","kmeans",0.507276379377716,0.492723620622284,-0.0869826925357454,4.05619268732824,0.96439415071835,0.72888617325923,0.02
"mixtools","kmeans",0.507276400706615,0.492723599293386,-0.0869826091077597,4.05619272241795,0.964394324737738,0.728886122997905,0.02
"bgmm","kmeans",0.504816240156016,0.495183759843984,0.0175278172810804,3.99751954576486,0.306529424646977,0.314286145425298,0.02
"mclust","kmeans",0.507275470304703,0.492724529695297,-0.0869878945601039,4.05619039884958,0.964386593104279,0.72888825544323,0.02
"EMCluster","kmeans",0.50727623885996,0.49272376114004,-0.0869834450675482,4.05619228051165,0.964393138806767,0.728886583946438,0.02
"GMKMcharlie","kmeans",0.507276415898111,0.492723584101889,-0.0869824779313047,4.05619277347519,0.964394989821311,0.72888678529335,0.02
"flexmix","kmeans",0.5075,0.4925,-0.0869822766615072,4.05619008148673,0.964873027295255,0.729259884211424,0.02
"DCEM","kmeans",0.507250932274997,0.492749067725003,-0.0871223895588123,4.05612252917565,0.964200726547542,0.728954383060569,0.02
"RGMMBench","quantiles",0.507276415229868,0.492723584770132,-0.0869824847882862,4.05619277491563,0.964394456647458,0.728886095571653,0.02
"Rmixmod","quantiles",0.507276403289801,0.492723596710199,-0.0869825541288915,4.05619274590354,0.964394354297317,0.728886121181047,0.02
"mixtools","quantiles",0.507276411485003,0.492723588514997,-0.0869825176976437,4.0561927612084,0.964394422143414,0.728886102373789,0.02
"bgmm","quantiles",0.504816252099813,0.495183747900187,0.0175278660362551,3.9975195920584,0.306529584909095,0.314286007854332,0.02
"mclust","quantiles",0.507276094581455,0.492723905418545,-0.0869843352371436,4.05619198377459,0.964391743533156,0.72888680333039,0.02
"EMCluster","quantiles",0.507276011327182,0.492723988672818,-0.086984750607871,4.05619171135123,0.964391236474318,0.72888709911567,0.02
"GMKMcharlie","quantiles",0.507276415898111,0.492723584101889,-0.0869824779313047,4.05619277347519,0.964394989821311,0.72888678529335,0.02
"flexmix","quantiles",0.5075,0.4925,-0.0869784855147485,4.05619173001852,0.964878558208185,0.729258393481867,0.02
"DCEM","quantiles",0.507267956241226,0.492732043758774,-0.0870302158213119,4.05617078598872,0.964326203711758,0.728906592008567,0.02
"RGMMBench","random",0.474779292793673,0.525220707206327,0.0104192257423272,3.71179357958692,0.28293854846924,1.72882433739122,0.02
"Rmixmod","random",0.474777853700358,0.525222146299642,0.0104191309810445,3.71178352358954,0.282937631475256,1.72883284111074,0.02
"mixtools","random",0.474778722934126,0.525221277065875,0.0104191024016551,3.71178421154049,0.282938070190401,1.72882783449113,0.02
"bgmm","random",0.474697115159666,0.525302884840334,0.0104138294193044,3.71121941832357,0.282886206786169,1.72930972177993,0.02
"mclust","random",0.474617443650231,0.525382556349769,0.0104086253398486,3.71066291179899,0.282835508307423,1.72977989292163,0.02
"EMCluster","random",0.475022584741383,0.524977415258617,0.0104353802490025,3.71349430193094,0.283093780014921,1.72738481835548,0.02
"GMKMcharlie","random",0.47478149433436,0.525218505665641,0.0104193653029822,3.71180896835432,0.282941942038491,1.72881157369746,0.02
"flexmix","random",0.493,0.507,0.0104104771650813,3.71048723653254,0.282985510337478,1.73072320027451,0.02
"DCEM","random",0.474158826838946,0.525841173161054,0.0103790831430141,3.70746234247445,0.282544998157937,1.7324782365284,0.02
"RGMMBench","hc",0.520968385592262,0.479031614407738,0.0655420221844152,4.00873825914873,1.45468944574165,0.293763014008937,0.02
"Rmixmod","hc",0.520967777096045,0.479032222903955,0.0655376810398251,4.00873797143625,1.45468464255218,0.293763514372724,0.02
"mixtools","hc",0.520967827742954,0.479032172257046,0.0655357990514411,4.00873782585157,1.4546849494177,0.293763500066352,0.02
"otrimle","hc",0.504979463707193,0.495020536292807,0.0194287577898311,4.00009289379845,0.289064562720335,0.29278635339519,0.02
"bgmm","hc",0.504816222439186,0.495183777560814,0.0175277449601007,3.99751947709534,0.30652918692204,0.31428634949106,0.02
"mclust","hc",0.520932778866359,0.479067221133641,0.0653054196721295,4.00870245978148,1.45445104726218,0.293816809352289,0.02
"EMCluster","hc",0.520901680103223,0.479098319896777,0.0650661239081251,4.00870666517093,1.4541628178905,0.293817809721698,0.02
"GMKMcharlie","hc",0.52096863417552,0.47903136582448,0.065543833095118,4.00873833593889,1.45469183263887,0.293764622415937,0.02
"flexmix","hc",0.5135,0.4865,0.0654380480569316,4.00870370386287,1.45529430873257,0.293966252568452,0.02
"DCEM","hc",0.520902778517481,0.479097221482519,0.065286736092794,4.00847584406821,1.4546827108488,0.294170200987355,0.02
"RGMMBench","rebmix",0.520967845822561,0.479032154177439,0.0655381708376747,4.00873800448933,1.45468518377483,0.293763457242081,0.02
"Rmixmod","rebmix",0.520966451168025,0.479033548831975,0.0655282198847757,4.00873734631222,1.45467417202927,0.293764602604336,0.02
"mixtools","rebmix",0.520967556818607,0.479032443181393,0.065533242090285,4.00873765064758,1.4546827848418,0.2937637303037,0.02
"bgmm","rebmix",0.504816222438895,0.495183777561105,0.0175277449589109,3.99751947709421,0.306529186918129,0.314286349494417,0.02
"mclust","rebmix",0.520883015423551,0.479116984576449,0.0649329810886885,4.00869778434576,1.45401548106645,0.293833145133091,0.02
"EMCluster","rebmix",0.520866594483119,0.479133405516881,0.0648158595043715,4.00868994601492,1.45388588617568,0.293846650082199,0.02
"GMKMcharlie","rebmix",0.520968629804896,0.479031370195104,0.0655438019102674,4.00873833387661,1.45469179812965,0.293764626005201,0.02
"flexmix","rebmix",0.5135,0.4865,0.0650575461873161,4.00869858628784,1.4548497122712,0.293983379401135,0.02
"DCEM","rebmix",0.520446196675018,0.479553803324982,0.0618195135751155,4.00848442334383,1.45057053284776,0.294192939216946,0.02
"RGMMBench","kmeans",0.504881127695275,0.495118872304725,-0.0642555417012102,4.10508316102815,0.753497940987891,0.860757171218116,0.02
"Rmixmod","kmeans",0.504881127695275,0.495118872304725,-0.0642555417012102,4.10508316102815,0.753497940987892,0.860757171218113,0.02
"mixtools","kmeans",0.504881149411038,0.495118850588962,-0.0642554465675891,4.10508332812318,0.75349799937251,0.860756996174175,0.02
"bgmm","kmeans",0.50530284592396,0.49469715407604,0.00469022681878355,4.02281449999512,0.31049725102254,0.33620103966898,0.02
"mclust","kmeans",0.504881166405893,0.495118833594107,-0.0642554242365291,4.10508336722505,0.753498051485695,0.860756871154249,0.02
"EMCluster","kmeans",0.504880791823214,0.495119208176786,-0.0642554068926114,4.10508019522391,0.753499506179251,0.860763221613792,0.02
"GMKMcharlie","kmeans",0.504881126750036,0.495118873249964,-0.0642555437007907,4.1050831551074,0.753498603772296,0.860757762013646,0.02
"flexmix","kmeans",0.505,0.495,-0.0642557261086097,4.10508133038584,0.753871717010622,0.861195468902888,0.02
"DCEM","kmeans",0.50488327945706,0.49511672054294,-0.0642492029010817,4.10509481700593,0.753503657655454,0.860739930146609,0.02
"RGMMBench","quantiles",0.504881126320515,0.495118873679485,-0.0642555459026694,4.10508315373575,0.753497936998574,0.860757181785243,0.02
"Rmixmod","quantiles",0.504881090365293,0.495118909634707,-0.0642556562930247,4.10508296352793,0.753497831558959,0.860757456640681,0.02
"mixtools","quantiles",0.504881112388714,0.495118887611286,-0.0642556111972677,4.10508304233541,0.753497897603562,0.860757291499514,0.02
"bgmm","quantiles",0.505302845923275,0.494697154076725,0.00469022681878309,4.022814500003,0.310497251022539,0.336201039702264,0.02
"mclust","quantiles",0.504879083562282,0.495120916437718,-0.064261918749027,4.10507245042278,0.753491728327777,0.860772492475991,0.02
"EMCluster","quantiles",0.504878897050938,0.495121102949062,-0.0642615506810571,4.10507050451925,0.753493217692585,0.860776746807123,0.02
"GMKMcharlie","quantiles",0.504881126750036,0.495118873249964,-0.0642555437007907,4.1050831551074,0.753498603772296,0.860757762013646,0.02
"flexmix","quantiles",0.505,0.495,-0.0642622286485729,4.10507038765536,0.753865383129954,0.861211144721747,0.02
"DCEM","quantiles",0.504879083562281,0.495120916437719,-0.064261918749027,4.10507245042278,0.753491728327777,0.86077249247599,0.02
"RGMMBench","random",0.490538334905619,0.509461665094381,-0.00306084828669826,3.92878274384345,0.298055013670416,1.4639654706694,0.02
"Rmixmod","random",0.49053741822146,0.50946258177854,-0.00306121493643979,3.92877602224416,0.298054518221568,1.46397285747304,0.02
"mixtools","random",0.490538124542524,0.509461875457476,-0.00306106495860589,3.92877907300277,0.298054891657521,1.46396723577995,0.02
"bgmm","random",0.505302845922857,0.494697154077143,0.00469022681878281,4.02281450000781,0.310497251022539,0.336201039722562,0.02
"mclust","random",0.490458756823196,0.509541243176804,-0.00309256987603993,3.92819921808148,0.298011996997247,1.46460666247406,0.02
"EMCluster","random",0.490439158814767,0.509560841185233,-0.0031003462217975,3.92805550282865,0.298001403296486,1.46476455780177,0.02
"GMKMcharlie","random",0.490538954306675,0.509461045693325,-0.00306057493069213,3.9287872609627,0.298057090514016,1.46396087449431,0.02
"flexmix","random",0.498,0.502,-0.00309630532382716,3.92804219692818,0.2981576291251,1.46549345933992,0.02
"DCEM","random",0.490320868346217,0.509679131653783,-0.00314702616114064,3.92718803525645,0.297937425686478,1.46571736875216,0.02
"RGMMBench","hc",0.490539348124694,0.509460651875306,-0.00306044296178605,3.92879017325157,0.298055561315522,1.46395730602415,0.02
"Rmixmod","hc",0.490540183185643,0.509459816814357,-0.0030601083208362,3.9287962957758,0.298056013106113,1.46395057834369,0.02
"mixtools","hc",0.490540286590274,0.509459713409727,-0.0030598136970403,3.92880113339813,0.298056084469694,1.46394960923567,0.02
"otrimle","hc",0.506251378377386,0.493748621622614,0.00203394218368333,4.0179890233589,0.301108237265601,0.312990381421111,0.02
"bgmm","hc",0.505302845910719,0.494697154089281,0.00469022681877465,4.02281450014755,0.310497251022518,0.336201040312733,0.02
"mclust","hc",0.490565884352869,0.509434115647131,-0.00304502956554363,3.92898013932524,0.298074870146906,1.46375487124855,0.02
