"algorithm","time","nobservations","prop_outliers"
"mixtools",0.001223583,100,0.02
"Rmixmod",0.003288303,100,0.02
"otrimle",0.183003968,100,0.02
"EMCluster",0.0011791,100,0.02
"bgmm",0.002340167,100,0.02
"flexmix",0.010127362,100,0.02
"DCEM",0.009073968,100,0.02
"GMKMcharlie",0.003164019,100,0.02
"mclust",0.001004464,100,0.02
"RGMMBench",0.005002316,100,0.02
"mixtools",0.001610168,100,0.02
"Rmixmod",0.003267645,100,0.02
"otrimle",0.183701004,100,0.02
"EMCluster",0.001012238,100,0.02
"bgmm",0.002028282,100,0.02
"flexmix",0.009527989,100,0.02
"DCEM",0.008160335,100,0.02
"GMKMcharlie",0.003101524,100,0.02
"mclust",0.000886862,100,0.02
"RGMMBench",0.004914923,100,0.02
"mixtools",0.001480013,100,0.02
"Rmixmod",0.003828566,100,0.02
"otrimle",0.174579669,100,0.02
"EMCluster",0.001176415,100,0.02
"bgmm",0.002232925,100,0.02
"flexmix",0.01288466,100,0.02
"DCEM",0.007787035,100,0.02
"GMKMcharlie",0.002809296,100,0.02
"mclust",0.000955822,100,0.02
"RGMMBench",0.004591617,100,0.02
"mixtools",0.00136561,100,0.02
"Rmixmod",0.003351681,100,0.02
"otrimle",0.163237729,100,0.02
"EMCluster",0.001019231,100,0.02
"bgmm",0.002216655,100,0.02
"flexmix",0.009002204,100,0.02
"DCEM",0.008239594,100,0.02
"GMKMcharlie",0.002831848,100,0.02
"mclust",0.001068424,100,0.02
"RGMMBench",0.004802752,100,0.02
"mixtools",0.001604366,100,0.02
"Rmixmod",0.003597514,100,0.02
"otrimle",0.175792181,100,0.02
"EMCluster",0.001048145,100,0.02
"bgmm",0.002293117,100,0.02
"flexmix",0.009856805,100,0.02
"DCEM",0.0082378,100,0.02
"GMKMcharlie",0.00308333,100,0.02
"mclust",0.000897312,100,0.02
"RGMMBench",0.004903581,100,0.02
"mixtools",0.001677736,100,0.02
"Rmixmod",0.003799652,100,0.02
"otrimle",0.167754446,100,0.02
"EMCluster",0.001046031,100,0.02
"bgmm",0.002251782,100,0.02
"flexmix",0.008960476,100,0.02
"DCEM",0.00845595,100,0.02
"GMKMcharlie",0.00306263,100,0.02
"mclust",0.00106137,100,0.02
"RGMMBench",0.00574621,100,0.02
"mixtools",0.001651716,100,0.02
"Rmixmod",0.003628212,100,0.02
"otrimle",0.176935083,100,0.02
"EMCluster",0.001068273,100,0.02
"bgmm",0.002290433,100,0.02
"flexmix",0.009226403,100,0.02
"DCEM",0.008654222,100,0.02
"GMKMcharlie",0.003213142,100,0.02
"mclust",0.0010613,100,0.02
"RGMMBench",0.004965508,100,0.02
"mixtools",0.00149901,100,0.02
"Rmixmod",0.003763034,100,0.02
"otrimle",0.182786601,100,0.02
"EMCluster",0.001081728,100,0.02
"bgmm",0.002304229,100,0.02
"flexmix",0.010490534,100,0.02
"DCEM",0.00843504,100,0.02
"GMKMcharlie",0.003239281,100,0.02
"mclust",0.000894126,100,0.02
"RGMMBench",0.005032763,100,0.02
"mixtools",0.0014724,100,0.02
"Rmixmod",0.004011499,100,0.02
"otrimle",0.182514682,100,0.02
"EMCluster",0.001250544,100,0.02
"bgmm",0.002068137,100,0.02
"flexmix",0.009306554,100,0.02
"DCEM",0.008172418,100,0.02
"GMKMcharlie",0.002947866,100,0.02
"mclust",0.000883025,100,0.02
"RGMMBench",0.004706793,100,0.02
"mixtools",0.001617262,100,0.02
"Rmixmod",0.003799021,100,0.02
"otrimle",0.191713793,100,0.02
"EMCluster",0.001042775,100,0.02
"bgmm",0.001871398,100,0.02
"flexmix",0.008507927,100,0.02
"DCEM",0.00790634,100,0.02
"GMKMcharlie",0.002829734,100,0.02
"mclust",0.000697226,100,0.02
"RGMMBench",0.004460752,100,0.02
"mixtools",0.001238161,100,0.02
"Rmixmod",0.002975146,100,0.02
"otrimle",0.202781037,100,0.02
"EMCluster",0.00115235,100,0.02
"bgmm",0.002244137,100,0.02
"flexmix",0.010866318,100,0.02
"DCEM",0.008922304,100,0.02
"GMKMcharlie",0.003117704,100,0.02
"mclust",0.001007168,100,0.02
"RGMMBench",0.005206388,100,0.02
"mixtools",0.001576115,100,0.02
"Rmixmod",0.004466653,100,0.02
"otrimle",0.190938601,100,0.02
"EMCluster",0.000893605,100,0.02
"bgmm",0.001681132,100,0.02
"flexmix",0.008050389,100,0.02
"DCEM",0.007615273,100,0.02
"GMKMcharlie",0.002812532,100,0.02
"mclust",0.000815829,100,0.02
"RGMMBench",0.004719887,100,0.02
"mixtools",0.001254672,100,0.02
"Rmixmod",0.003186432,100,0.02
"otrimle",0.189838889,100,0.02
"EMCluster",0.001123707,100,0.02
"bgmm",0.002253293,100,0.02
"flexmix",0.010357544,100,0.02
"DCEM",0.008367744,100,0.02
"GMKMcharlie",0.003288905,100,0.02
"mclust",0.000996768,100,0.02
"RGMMBench",0.00520176,100,0.02
"mixtools",0.001611051,100,0.02
"Rmixmod",0.004285131,100,0.02
"otrimle",0.176347522,100,0.02
"EMCluster",0.000860763,100,0.02
"bgmm",0.001687373,100,0.02
"flexmix",0.00815213,100,0.02
"DCEM",0.007750748,100,0.02
"GMKMcharlie",0.00262482,100,0.02
"mclust",0.000996358,100,0.02
"RGMMBench",0.004450883,100,0.02
"mixtools",0.001176545,100,0.02
"Rmixmod",0.003097606,100,0.02
"otrimle",0.192824576,100,0.02
"EMCluster",0.001045941,100,0.02
"bgmm",0.001935298,100,0.02
"flexmix",0.008200781,100,0.02
"DCEM",0.007675117,100,0.02
"GMKMcharlie",0.002638145,100,0.02
"mclust",0.000939441,200,0.02
"RGMMBench",0.009385893,200,0.02
"mixtools",0.0013442,200,0.02
"Rmixmod",0.003332987,200,0.02
"otrimle",0.214258219,200,0.02
"EMCluster",0.001093991,200,0.02
"bgmm",0.00234212,200,0.02
"flexmix",0.009536524,200,0.02
"DCEM",0.013822008,200,0.02
"GMKMcharlie",0.002807933,200,0.02
"mclust",0.000947357,200,0.02
"RGMMBench",0.009428422,200,0.02
"mixtools",0.001379286,200,0.02
"Rmixmod",0.003201862,200,0.02
"otrimle",0.212462254,200,0.02
"EMCluster",0.001386368,200,0.02
"bgmm",0.002655548,200,0.02
"flexmix",0.011340776,200,0.02
"DCEM",0.014129092,200,0.02
"GMKMcharlie",0.003241897,200,0.02
"mclust",0.001208786,200,0.02
"RGMMBench",0.009569076,200,0.02
"mixtools",0.001719664,200,0.02
"Rmixmod",0.004735306,200,0.02
"otrimle",0.204922361,200,0.02
"EMCluster",0.001400236,200,0.02
"bgmm",0.002705702,200,0.02
"flexmix",0.010907173,200,0.02
"DCEM",0.014508625,200,0.02
"GMKMcharlie",0.003324181,200,0.02
"mclust",0.001198678,200,0.02
"RGMMBench",0.00950237,200,0.02
"mixtools",0.001671052,200,0.02
"Rmixmod",0.00384662,200,0.02
"otrimle",0.183883858,200,0.02
"EMCluster",0.001208856,200,0.02
"bgmm",0.002511507,200,0.02
"flexmix",0.009909513,200,0.02
"DCEM",0.013914791,200,0.02
"GMKMcharlie",0.003144172,200,0.02
"mclust",0.000992982,200,0.02
"RGMMBench",0.009332694,200,0.02
"mixtools",0.001705196,200,0.02
"Rmixmod",0.003631707,200,0.02
"otrimle",0.195143472,200,0.02
"EMCluster",0.001325895,200,0.02
"bgmm",0.00229416,200,0.02
"flexmix",0.010011886,200,0.02
"DCEM",0.013695019,200,0.02
"GMKMcharlie",0.003095021,200,0.02
"mclust",0.001011336,200,0.02
"RGMMBench",0.009227977,200,0.02
"mixtools",0.001464024,200,0.02
"Rmixmod",0.003393842,200,0.02
"otrimle",0.187998871,200,0.02
"EMCluster",0.001233181,200,0.02
"bgmm",0.002261359,200,0.02
"flexmix",0.016338394,200,0.02
"DCEM",0.013422609,200,0.02
"GMKMcharlie",0.002872534,200,0.02
"mclust",0.000897853,200,0.02
"RGMMBench",0.009242063,200,0.02
"mixtools",0.001329452,200,0.02
"Rmixmod",0.003267394,200,0.02
"otrimle",0.205730115,200,0.02
"EMCluster",0.00103472,200,0.02
"bgmm",0.002223166,200,0.02
"flexmix",0.009095629,200,0.02
"DCEM",0.013552774,200,0.02
"GMKMcharlie",0.003354548,200,0.02
"mclust",0.000936996,200,0.02
"RGMMBench",0.009317825,200,0.02
"mixtools",0.00154765,200,0.02
"Rmixmod",0.00336104,200,0.02
"otrimle",0.197037122,200,0.02
"EMCluster",0.0010722,200,0.02
"bgmm",0.002288871,200,0.02
"flexmix",0.009120676,200,0.02
"DCEM",0.013501607,200,0.02
"GMKMcharlie",0.002829854,200,0.02
"mclust",0.000889698,200,0.02
"RGMMBench",0.009260688,200,0.02
"mixtools",0.001485546,200,0.02
"Rmixmod",0.003288504,200,0.02
"otrimle",0.234877766,200,0.02
"EMCluster",0.001064946,200,0.02
"bgmm",0.002361867,200,0.02
"flexmix",0.009210123,200,0.02
"DCEM",0.01365855,200,0.02
"GMKMcharlie",0.002878957,200,0.02
"mclust",0.000900559,200,0.02
"RGMMBench",0.009252592,200,0.02
"mixtools",0.001417949,200,0.02
"Rmixmod",0.003286801,200,0.02
"otrimle",0.220115467,200,0.02
"EMCluster",0.001423648,200,0.02
"bgmm",0.002827461,200,0.02
"flexmix",0.015380799,200,0.02
"DCEM",0.022304226,200,0.02
"GMKMcharlie",0.003520669,200,0.02
"mclust",0.00123751,200,0.02
"RGMMBench",0.009547716,200,0.02
"mixtools",0.001832876,200,0.02
"Rmixmod",0.004788436,200,0.02
"otrimle",0.201803695,200,0.02
"EMCluster",0.001183129,200,0.02
"bgmm",0.002289722,200,0.02
"flexmix",0.009243695,200,0.02
"DCEM",0.013619579,200,0.02
"GMKMcharlie",0.002873747,200,0.02
"mclust",0.000983825,200,0.02
"RGMMBench",0.00913432,200,0.02
"mixtools",0.001442785,200,0.02
"Rmixmod",0.004099133,200,0.02
"otrimle",0.208087232,200,0.02
"EMCluster",0.001328321,200,0.02
"bgmm",0.002856083,200,0.02
"flexmix",0.014929062,200,0.02
"DCEM",0.021248016,200,0.02
"GMKMcharlie",0.003461479,200,0.02
"mclust",0.000985688,200,0.02
"RGMMBench",0.011057375,200,0.02
"mixtools",0.001804121,200,0.02
"Rmixmod",0.004784308,200,0.02
"otrimle",0.196995293,200,0.02
"EMCluster",0.001262967,200,0.02
"bgmm",0.002585376,200,0.02
"flexmix",0.013584872,200,0.02
"DCEM",0.021716864,200,0.02
"GMKMcharlie",0.003139205,200,0.02
"mclust",0.001084663,200,0.02
"RGMMBench",0.010170253,200,0.02
"mixtools",0.001690298,200,0.02
"Rmixmod",0.004589473,200,0.02
"otrimle",0.20076626,200,0.02
"EMCluster",0.00123749,200,0.02
"bgmm",0.002660537,200,0.02
"flexmix",0.013124309,200,0.02
"DCEM",0.016780402,200,0.02
"GMKMcharlie",0.003198415,200,0.02
"mclust",0.001114318,200,0.02
"RGMMBench",0.010263577,200,0.02
"mixtools",0.001667566,200,0.02
"Rmixmod",0.004797061,200,0.02
"otrimle",0.18896423,200,0.02
"EMCluster",0.001384174,200,0.02
"bgmm",0.002689161,200,0.02
"flexmix",0.012467027,200,0.02
"DCEM",0.020885125,200,0.02
"GMKMcharlie",0.003013498,200,0.02
"mclust",0.000947376,200,0.02
"RGMMBench",0.009354343,200,0.02
"mixtools",0.001683766,200,0.02
"Rmixmod",0.003851751,200,0.02
"otrimle",0.204728147,200,0.02
"EMCluster",0.001224606,200,0.02
"bgmm",0.002429483,200,0.02
"flexmix",0.010247448,200,0.02
"DCEM",0.014558417,200,0.02
"GMKMcharlie",0.003057742,200,0.02
"mclust",0.00100297,200,0.02
"RGMMBench",0.009442659,200,0.02
"mixtools",0.001504821,200,0.02
"Rmixmod",0.003489561,200,0.02
"otrimle",0.209618333,200,0.02
"EMCluster",0.001112265,200,0.02
"bgmm",0.002343522,200,0.02
"flexmix",0.009720741,200,0.02
"DCEM",0.014401643,200,0.02
"GMKMcharlie",0.002866623,200,0.02
"mclust",0.000975749,200,0.02
"RGMMBench",0.009465983,200,0.02
"mixtools",0.001449046,200,0.02
"Rmixmod",0.003339229,200,0.02
"otrimle",0.191494071,200,0.02
"EMCluster",0.001325665,200,0.02
"bgmm",0.002605433,200,0.02
"flexmix",0.010551027,200,0.02
"DCEM",0.013980124,200,0.02
"GMKMcharlie",0.00326523,200,0.02
"mclust",0.001170914,200,0.02
"RGMMBench",0.011453608,200,0.02
"mixtools",0.001698314,200,0.02
"Rmixmod",0.004555718,200,0.02
"otrimle",0.194727813,200,0.02
"EMCluster",0.001208805,200,0.02
"bgmm",0.00256648,200,0.02
"flexmix",0.009839623,200,0.02
"DCEM",0.015030001,200,0.02
"GMKMcharlie",0.003062159,200,0.02
"mclust",0.000941535,200,0.02
"RGMMBench",0.009413374,200,0.02
"mixtools",0.001563911,200,0.02
"Rmixmod",0.00356377,200,0.02
"otrimle",0.228505453,200,0.02
"EMCluster",0.001307441,200,0.02
"bgmm",0.002682779,200,0.02
"flexmix",0.010208445,200,0.02
"DCEM",0.014825448,200,0.02
"GMKMcharlie",0.002870741,200,0.02
"mclust",0.001047814,200,0.02
"RGMMBench",0.00966742,200,0.02
"mixtools",0.001826173,200,0.02
"Rmixmod",0.003944102,200,0.02
"otrimle",0.195152559,200,0.02
"EMCluster",0.001331847,200,0.02
"bgmm",0.002283019,200,0.02
"flexmix",0.009354713,200,0.02
"DCEM",0.0138394,200,0.02
"GMKMcharlie",0.002829573,200,0.02
"mclust",0.001033978,200,0.02
"RGMMBench",0.00947513,200,0.02
"mixtools",0.00156349,200,0.02
"Rmixmod",0.003693452,200,0.02
"otrimle",0.210701141,200,0.02
"EMCluster",0.001298725,200,0.02
"bgmm",0.002589263,200,0.02
"flexmix",0.010776699,200,0.02
"DCEM",0.014360425,200,0.02
"GMKMcharlie",0.003209576,200,0.02
"mclust",0.001025091,200,0.02
"RGMMBench",0.009454011,200,0.02
"mixtools",0.00172836,200,0.02
"Rmixmod",0.004531003,200,0.02
"otrimle",0.20132627,200,0.02
"EMCluster",0.001087018,200,0.02
"bgmm",0.002414076,200,0.02
"flexmix",0.010404902,200,0.02
"DCEM",0.013906215,200,0.02
"GMKMcharlie",0.003047602,200,0.02
"mclust",0.000968486,200,0.02
"RGMMBench",0.009385261,200,0.02
"mixtools",0.001599368,200,0.02
"Rmixmod",0.003234383,200,0.02
"otrimle",0.213147087,200,0.02
"EMCluster",0.001347665,200,0.02
"bgmm",0.002711182,200,0.02
"flexmix",0.011502541,200,0.02
"DCEM",0.014494698,200,0.02
"GMKMcharlie",0.003328429,200,0.02
"mclust",0.001175253,200,0.02
"RGMMBench",0.009573353,200,0.02
