"initialisation_method","package","scores","p1","p2","mu_var1_comp1","mu_var1_comp2","mu_var2_comp1","mu_var2_comp2","sd_var1_var1_comp1","sd_var2_var1_comp1","sd_var2_var2_comp1","sd_var1_var1_comp2","sd_var2_var1_comp2","sd_var2_var2_comp2","OVL","entropy","true_parameters_factor"
"hc","mclust","bias",-0.00880003205826774,0.00880003205826774,-0.0364728950831136,0.00501492366286582,0.0344641546769568,0.00115630419680255,-0.0407422372139239,0.0308007889714351,-0.0230621248912301,-0.0104476677738724,0.000802318049413553,-0.00399530754708244,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"hc","mclust","mse",0.0239075369404385,0.0239075369404385,0.106028852743274,0.101238146263935,0.100545029935118,0.110734519740656,0.0694708216869217,0.0590595586775321,0.0583390890578831,0.0731670005583784,0.0711914476302596,0.0793857962029843,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"hc","mixtools","bias",-0.0178604147135166,0.0178604147135166,-0.0492231134578218,-0.0136283430915718,0.0489988049780834,0.01968997639292,-0.0537155537210461,0.0436471388086346,-0.0336360632376047,0.0109687035466852,-0.0202753824006796,0.0164795866151048,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"hc","mixtools","mse",0.0303431423115427,0.0303431423115427,0.126572496858941,0.12877641056482,0.123685759329385,0.138930914794697,0.0869798396830139,0.0773299941914598,0.0718149962669914,0.101827309028579,0.0992724332875617,0.107992784075848,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"hc","Rmixmod","bias",-0.0178604147135165,0.0178604147135165,-0.0492231134578219,-0.0136283430915716,0.0489988049780821,0.0196899763929198,-0.0537155537210463,0.0436471388086344,-0.0336360632376038,0.0109687035466852,-0.0202753824006797,0.0164795866151051,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"hc","Rmixmod","mse",0.0303431423115425,0.0303431423115425,0.126572496858941,0.12877641056482,0.123685759329383,0.138930914794696,0.0869798396830136,0.0773299941914589,0.0718149962669897,0.101827309028579,0.0992724332875616,0.107992784075848,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"kmeans","bgmm","bias",-0.0108180114788093,0.0108180114788093,-0.039279213958853,5.10414710506168e-05,0.037747176429364,0.00664841133359115,-0.045221882471167,0.0355840432469036,-0.0281331723998177,-0.00950696945150575,0.00171235725650098,-0.00569750549607706,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"kmeans","bgmm","mse",0.0202083192150413,0.0202083192150413,0.0893410391168524,0.0845485386102923,0.0851947652173087,0.0949985749506681,0.0588386500080807,0.0502374135472631,0.0500969415017136,0.0674004498617047,0.0655786567285728,0.0746738748554709,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"kmeans","em R","bias",-0.018537862424983,0.0185378624249829,-0.0505853599111635,-0.0147791478883934,0.0508270399285795,0.020996956548772,-0.0545796270449472,0.0446532540297386,-0.0350397824788847,0.0114632062034896,-0.0208308892140739,0.0172227027760605,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"kmeans","em R","mse",0.0304424722774467,0.0304424722774467,0.126321188672237,0.128910902283947,0.124659826048014,0.139123732226956,0.0868983907577565,0.0778433500148072,0.0728639434325516,0.101717961168893,0.0991737920038785,0.108170371545518,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"kmeans","EMCluster","bias",-0.0107802910668555,0.0107802910668555,-0.0392586292936414,0.000184900254265763,0.0377392634278757,0.00650556836170771,-0.0453473852552663,0.0357326541796743,-0.028296707417709,-0.00976740512600816,0.00198319967843097,-0.00596368745369147,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"kmeans","EMCluster","mse",0.0201195240990242,0.0201195240990242,0.0889346338709989,0.0841533043092075,0.0847919990172804,0.0945957453526635,0.0586118616997248,0.0500289240032682,0.0498903671048507,0.0671137727572849,0.0653128508269062,0.0743982301347561,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"kmeans","flexmix","bias",-0.01132,0.01132,-0.0363829529823698,-0.00256604039724495,0.0349551600754934,0.00922649554458939,-0.0369668357842572,0.028318588537516,-0.020124903163691,-0.00146574767586416,-0.00557704156726191,0.00230316587609813,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"kmeans","flexmix","mse",0.0196526046222222,0.0196526046222222,0.0875268590510057,0.0831117732036386,0.083462239451426,0.0935300786851631,0.057712178787896,0.0495185391561777,0.0492563479443961,0.0669999574302144,0.0655550436807754,0.0744442234099514,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"kmeans","GMKMcharlie","bias",-0.0111851593202034,0.0111851593202034,-0.0399376105794829,-0.000799373451578766,0.0382682971942541,0.00761968183941529,-0.0449505567220535,0.0351205999542713,-0.0275054447681576,-0.00794749019215402,4.89885618535357e-05,-0.00403826705242383,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"kmeans","GMKMcharlie","mse",0.0209885453289084,0.0209885453289084,0.0928712876561047,0.0879674368389367,0.0886783399816582,0.0984317416671442,0.0608033093070848,0.0521275305264279,0.0519630420140142,0.0697947273737096,0.0678834584626331,0.0770511827256486,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"kmeans","mclust","bias",-0.0107760261005186,0.0107760261005186,-0.0392481034632172,0.000193376755949437,0.0377337272182845,0.0064926972459724,-0.0453432641160274,0.0357306274191967,-0.028297967603244,-0.00977771003455985,0.00199677597205417,-0.00597907551266119,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"kmeans","mclust","mse",0.0201148200850387,0.0201148200850387,0.0889146591488592,0.0841369464985548,0.0847755031039486,0.0945825744319942,0.0585964459151428,0.0500123744432875,0.049875352553837,0.0671048215486669,0.0653029621381482,0.0743875820182665,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"kmeans","mixtools","bias",-0.0185371874109541,0.0185371874109541,-0.0505838844827314,-0.0147781641581202,0.0508260524772712,0.0209956305481447,-0.0545807771959003,0.0446550396880732,-0.0350422443561799,0.0114593868806456,-0.0208267324277344,0.0172185301827654,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"kmeans","mixtools","mse",0.0304391342640353,0.0304391342640353,0.126306547134085,0.128896181357593,0.12464578313846,0.139109023762002,0.086889965308282,0.077835057350811,0.0728558672117298,0.101708758277001,0.0991647016842286,0.108161083820514,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"kmeans","Rmixmod","bias",-0.0185371874109541,0.0185371874109541,-0.0505838844827314,-0.0147781641581199,0.0508260524772712,0.0209956305481447,-0.0545807771959003,0.0446550396880731,-0.0350422443561796,0.0114593868806454,-0.0208267324277341,0.0172185301827654,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"kmeans","Rmixmod","mse",0.0304391342640354,0.0304391342640354,0.126306547134086,0.128896181357593,0.124645783138461,0.139109023762002,0.086889965308282,0.0778350573508111,0.0728558672117299,0.101708758277001,0.0991647016842287,0.108161083820514,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"random","bgmm","bias",-0.013346732180033,0.013346732180033,-0.0508110819596248,0.00610352792105173,0.0501255300145433,0.00554877718604684,-0.0492308274808743,0.0383327405067803,-0.0261906216759529,-0.0094698271098983,-0.00282974173895023,-0.000591510701764442,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"random","bgmm","mse",0.035705069761808,0.035705069761808,0.161227005168985,0.164912440262966,0.163324900842859,0.166305668981768,0.103605177718759,0.0977708562173208,0.094161334941552,0.112498692227656,0.109870645431457,0.121964066457593,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"random","em R","bias",-0.0132354336255792,0.0132354336255792,-0.0466396815209974,0.00483149924626547,0.046177544934757,0.00707638936922757,-0.0446502870759351,0.033573999022893,-0.0214477303562832,-0.00663660161472412,-0.00609785281703201,0.00250392197807958,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"random","em R","mse",0.037308104878253,0.037308104878253,0.16449804673325,0.173441264637737,0.167054002070827,0.174356124364732,0.108709245366297,0.102407744532995,0.0987575292533479,0.121382521784772,0.118541676069803,0.131200646771641,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"random","EMCluster","bias",-0.0133661686234324,0.0133661686234324,-0.05109977177738,0.00621483165046577,0.050399941828088,0.00543290139699326,-0.049632210205324,0.038730220632232,-0.0265957069191901,-0.00977758031251474,-0.00250353966538186,-0.000901212495714732,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"random","EMCluster","mse",0.0356793720167504,0.0356793720167504,0.161296454344511,0.164750814633931,0.163345570232748,0.166151682002883,0.103578681741454,0.0977501066433859,0.0941374944185141,0.112305572282939,0.109691028061304,0.121764736684224,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"random","flexmix","bias",-0.00882828282828285,0.00882828282828285,-0.0356506380511864,0.0135936447930503,0.033667194323685,-0.0017139465177413,-0.0367092333815309,0.0257967303451804,-0.0129306270618393,-0.00919825381441397,-0.00218255650801147,-0.000465170189394959,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"random","flexmix","mse",0.0339148373614521,0.0339148373614521,0.142855819056088,0.156845624158886,0.1411519256553,0.158317267278715,0.0993947317622074,0.0929620689189578,0.0895258948365086,0.109074334207202,0.106955743596376,0.118547844109797,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"random","GMKMcharlie","bias",-0.0131447058867993,0.0131447058867993,-0.0494766911631727,0.00600939873119311,0.0488382739300763,0.00563904843667091,-0.0476333521792124,0.0367346807598881,-0.0245686152789008,-0.0087022486052184,-0.00368807488974299,0.000151087656981908,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"random","GMKMcharlie","mse",0.0359012917114601,0.0359012917114601,0.16137059616546,0.166045040013457,0.163623077934564,0.167425892367926,0.104222905214539,0.0983182240526067,0.0946894088912331,0.113760016676319,0.111047205013434,0.123277099325501,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"random","mclust","bias",-0.0133703488886232,0.0133703488886231,-0.0511099986212723,0.00621562721373659,0.0504104634423541,0.00543781501707227,-0.0496469527254074,0.0387445131207654,-0.0266088261646282,-0.00977549113453446,-0.00250389393222494,-0.000900109048386777,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"random","mclust","mse",0.035676524388218,0.035676524388218,0.161275802159624,0.164744771911212,0.163329778430911,0.166139427725022,0.103559548235134,0.0977363444268402,0.0941283374409523,0.11230204177568,0.109687188014668,0.121757787095348,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"random","mixtools","bias",-0.0132369069071486,0.0132369069071486,-0.0466443372774525,0.00482858542180953,0.0461821981302344,0.00707917012416966,-0.0446545487174124,0.033578480866874,-0.0214523614503958,-0.00663528720468953,-0.006098869079188,0.0025050413277059,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"random","mixtools","mse",0.0373068829988468,0.0373068829988468,0.16449510141864,0.173434563379769,0.167051623538861,0.17434991374483,0.108705447546082,0.102404087697021,0.0987540001765053,0.121376998170399,0.118536700801271,0.13119544090134,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
